"","varmx_sd_PC1_LDLDpre","varmx_sd_PC1_LDLDpost","varmx_sd_PC2_LDLDpre","varmx_sd_PC2_LDLDpost","varmx_sd_PC1_LDLDpre_vel","varmx_sd_PC1_LDLDpost_vel","varmx_sd_PC2_LDLDpre_vel","varmx_sd_PC2_LDLDpost_vel","varmx_sd_PC1_LDLDpre_acc","varmx_sd_PC1_LDLDpost_acc","varmx_sd_PC2_LDLDpre_acc","varmx_sd_PC2_LDLDpost_acc","varmx_PC1_movement_acc_sd_LDLD","varmx_PC2_movement_acc_sd_LDLD","varmx_PC1_movement_ori_sd_LDLD","varmx_PC2_movement_ori_sd_LDLD","varmx_PC1_movement_vel_sd_LDLD","varmx_PC2_movement_vel_sd_LDLD","varmx_PC1_movement_ori_sd_absLDLD","varmx_PC2_movement_ori_sd_absLDLD","varmx_PC1_movement_vel_sd_absLDLD","varmx_PC2_movement_vel_sd_absLDLD","varmx_PC1_movement_acc_sd_absLDLD","varmx_PC2_movement_acc_sd_absLDLD","varmx_distances_ori_sdLDLD","varmx_distances_vel_sdLDLD","varmx_distances_acc_sdLDLD"
"WxT_19.",0.199305645723658,0.126385368325081,-0.123349419545512,-0.0890440757366706,-0.00710693397315145,-0.0021833660194703,0.00780537953348804,0.000822597115618716,0.00152536457490151,0.00043829186447336,-0.00184690621559543,0.000607291160791844,0.00108707271042815,-0.00245419737638727,0.0729202773985765,-0.0343053438088417,-0.00492356795368114,0.00698278241786932,0.0729202773985765,0.0343053438088417,0.00492356795368114,0.00698278241786932,0.00108707271042815,0.00245419737638727,0.0805867450002057,0.00854404890492914,0.00268417805669143
"WxT_21.",0.153977071731563,0.200782245890594,-0.0592567614922255,-0.087936512040345,-0.00681975858501776,-0.00345479518631169,0.018557092405075,-0.000309164442464387,-0.00256659698417563,0.000511020220040877,-0.00829201432046704,4.85787778180084e-06,-0.00307761720421651,-0.00829687219824884,-0.0468051741590317,0.0286797505481195,-0.00336496339870607,0.0188662568475394,0.0468051741590317,0.0286797505481195,0.00336496339870607,0.0188662568475394,0.00307761720421651,0.00829687219824884,0.0548930999266724,0.0191639929584614,0.0088492833568467
"WxT_22.",0.163096840104771,0.208693325921168,-0.0676555961770235,-0.0522506575530682,-0.0102772865687121,0.00153801086069621,0.0172699343877471,0.0144306920353937,0.0028153888293014,-0.00167834244906449,-0.0047512082427968,-0.00259263150342889,0.00449373127836589,-0.00215857673936791,-0.0455964858163975,-0.0154049386239553,-0.0118152974294083,0.00283924235235343,0.0455964858163975,0.0154049386239553,0.0118152974294083,0.00283924235235343,0.00449373127836589,0.00215857673936791,0.0481284910714306,0.0121516480561601,0.00498528578337332
"WxT_23.",0.178543488231922,0.223293882468106,-0.112811439744606,-0.0711725932631511,-0.00509911085656733,-0.00701736515224814,0.0144081065705682,0.00986675170926905,-0.00211242226503503,-0.00319398947434785,-0.00370128906562192,-0.0051036015547304,0.00108156720931283,0.00140231248910847,-0.0447503942361835,-0.041638846481455,0.00191825429568082,0.00454135486129912,0.0447503942361835,0.041638846481455,0.00191825429568082,0.00454135486129912,0.00108156720931283,0.00140231248910847,0.0611260281762199,0.00492986850931574,0.00177095114144076
"WxT_24.",0.167889895982736,0.201399033624974,-0.114207192012861,-0.102662797409102,-0.00935603801016018,-0.0138325352155552,0.00933605644613791,0.00628071454765381,0.00410265333100155,0.00689678215703991,0.000725434274201594,-0.00454101808450376,-0.00279412882603835,0.00526645235870535,-0.0335091376422387,-0.0115443946037595,0.00447649720539497,0.0030553418984841,0.0335091376422387,0.0115443946037595,0.00447649720539497,0.0030553418984841,0.00279412882603835,0.00526645235870535,0.0354419998348543,0.00541979163312958,0.00596176788738136
"WxT_25.",0.231345189470386,0.245000286880142,-0.148224087093796,-0.117553082936411,-0.0115062325522287,0.00652634362143007,0.00944625850771178,-0.00767462703516551,-0.000287837377695843,-0.00103507433774786,-0.0056825388256792,0.00406476433548794,0.000747236960052018,-0.00974730316116715,-0.0136550974097558,-0.0306710041573846,-0.0180325761736588,0.0171208855428773,0.0136550974097558,0.0306710041573846,0.0180325761736588,0.0171208855428773,0.000747236960052018,0.00974730316116715,0.0335733850139098,0.0248656092873493,0.00977590312913169
"WxT_26.",0.132610275790731,0.151847980416546,-0.090260435108863,-0.0918682552494602,-0.0099235490820606,-0.00591500031827391,0.025543321476205,0.00916326772837136,0.000624683944034385,0.000563952748152911,-0.00611112558005345,-0.00359798030804086,6.07311958814735e-05,-0.00251314527201259,-0.0192377046258145,0.0016078201405972,-0.00400854876378669,0.0163800537478336,0.0192377046258145,0.0016078201405972,0.00400854876378669,0.0163800537478336,6.07311958814735e-05,0.00251314527201259,0.0193047757012247,0.0168634108048631,0.00251387896216035
"WxT_27.",0.199871928384526,0.200493513271478,-0.0850637252950998,-0.0947751513460006,-0.0044952258559398,-0.00556177365309356,0.00684694199873843,0.00397347698158166,0.000128037744384807,0.00540519651176668,-0.00380182615919085,-0.00263235848415364,-0.00527715876738187,-0.00116946767503721,-0.000621584886952575,0.00971142605090076,0.00106654779715375,0.00287346501715677,0.000621584886952575,0.00971142605090076,0.00106654779715375,0.00287346501715677,0.00527715876738187,0.00116946767503721,0.0097312981515213,0.00306501637979918,0.00540518818350594
"WxT_28.",0.146791993434908,0.166810099798834,-0.0854773255123255,-0.0896753147916582,-0.00294213706698026,-0.00704749944775873,-0.00244194641266322,0.000203046191071952,0.00073116624109174,0.00338810167263034,0.000972058954352779,0.00018482390553773,-0.0026569354315386,0.000787235048815049,-0.0200181063639262,0.00419798927933274,0.00410536238077847,-0.00264499260373518,0.0200181063639262,0.00419798927933274,0.00410536238077847,0.00264499260373518,0.0026569354315386,0.000787235048815049,0.0204535497258265,0.00488364476096745,0.00277110896744391
"WxT_29.",0.147423959005925,0.202097734082177,-0.117286183739239,-0.0697694705807484,-0.0194293305479779,-0.0122059278145543,0.00624867836219398,0.0126421073828475,0.00277434604099389,0.00318045529933911,-0.00797859383590867,-0.00471781434843413,-0.000406109258345226,-0.00326077948747454,-0.0546737750762516,-0.0475167131584911,-0.0072234027334236,-0.00639342902065355,0.0546737750762516,0.0475167131584911,0.0072234027334236,0.00639342902065355,0.000406109258345226,0.00326077948747454,0.0724365909639242,0.00964642325897877,0.00328597133214038
