"","sd_PC1_LDLDpre","sd_PC1_LDLDpost","sd_PC2_LDLDpre","sd_PC2_LDLDpost","sd_PC1_LDLDpre_vel","sd_PC1_LDLDpost_vel","sd_PC2_LDLDpre_vel","sd_PC2_LDLDpost_vel","sd_PC1_LDLDpre_acc","sd_PC1_LDLDpost_acc","sd_PC2_LDLDpre_acc","sd_PC2_LDLDpost_acc","PC1_movement_acc_sd_LDLD","PC2_movement_acc_sd_LDLD","PC1_movement_ori_sd_LDLD","PC2_movement_ori_sd_LDLD","PC1_movement_vel_sd_LDLD","PC2_movement_vel_sd_LDLD","PC1_movement_ori_sd_absLDLD","PC2_movement_ori_sd_absLDLD","PC1_movement_vel_sd_absLDLD","PC2_movement_vel_sd_absLDLD","PC1_movement_acc_sd_absLDLD","PC2_movement_acc_sd_absLDLD","distances_ori_sdLDLD","distances_vel_sdLDLD","distances_acc_sdLDLD"
"WxT_31.",0.256203847484531,0.246621754776936,0.0497534541787455,0.0336292721857542,0.00565644793227532,-0.00509839507732752,0.0273679456662157,0.0159260683525473,0.00125078839242934,0.0110227525774949,-0.0121204988749898,-0.00557133841252467,-0.00977196418506559,-0.00654916046246513,0.00958209270759497,0.0161241819929913,0.0107548430096028,0.0114418773136684,0.00958209270759497,0.0161241819929913,0.0107548430096028,0.0114418773136684,0.00977196418506559,0.00654916046246513,0.018756485427714,0.0157029680195255,0.0117636213300718
"WxT_34.",0.243231943299232,0.189015917863386,0.048110246129247,0.0567257413685859,0.00600022234758457,-0.00618306033127887,0.0374483494390159,0.00563844375586124,-0.000565570147271234,-0.00341360740331453,-0.0099399413433992,-0.00599034759898873,0.0028480372560433,-0.00394959374441047,0.0542160254358458,-0.00861549523933888,0.0121832826788634,0.0318099056831547,0.0542160254358458,0.00861549523933888,0.0121832826788634,0.0318099056831547,0.0028480372560433,0.00394959374441047,0.054896303812546,0.034063212948932,0.00486935385422922
"WxT_35.",0.34139792896266,0.265046544541358,0.0272350612510033,0.0560227784859832,0.00408025104240819,0.000180500735773555,0.028456591277373,0.0133782326340695,0.000341858802602844,0.00735536632360478,-0.0140595414813824,-0.00253344147506148,-0.00701350752100194,-0.0115261000063209,0.0763513844213025,-0.02878771723498,0.00389975030663464,0.0150783586433034,0.0763513844213025,0.02878771723498,0.00389975030663464,0.0150783586433034,0.00701350752100194,0.0115261000063209,0.0815982019817267,0.0155744968403535,0.0134922299529344
"WxT_36.",0.276062088500521,0.225768674118523,0.0381191592719408,0.0609377139809278,0.00363296645525102,0.00512964681641565,0.0268682664368894,0.0123103811445661,-0.00151288211069573,-0.000871945748354009,-0.0130593274297883,-0.00397258860260889,-0.000640936362341726,-0.00908673882717943,0.0502934143819981,-0.022818554708987,-0.00149668036116464,0.0145578852923233,0.0502934143819981,0.022818554708987,0.00149668036116464,0.0145578852923233,0.000640936362341726,0.00908673882717943,0.0552278369050101,0.0146346191029332,0.00910931511881887
"WxT_38.",0.221819961561767,0.234840813671832,-0.0240577735279319,-0.0145580397889569,-0.0156696250773292,-0.0113119204357677,-0.00551896492229033,0.0177566939923896,0.00266300268904185,0.0145885292306532,0.00477117947643403,-0.00254449241517434,-0.0119255265416114,0.00731567189160837,-0.0130208521100655,-0.00949973373897496,-0.00435770464156156,-0.0232756589146799,0.0130208521100655,0.00949973373897496,0.00435770464156156,0.0232756589146799,0.0119255265416114,0.00731567189160837,0.0161179257593406,0.0236800736412623,0.0139906125141234
"WxT_39.",0.195383209334228,0.208273705120698,-0.013252689133383,0.014372916887747,-0.014442143034339,-0.00812224609440874,-0.00344451228004789,0.00698126153523193,0.000253350480181403,0.00272792968500288,0.00236677395738021,0.000159012095371881,-0.00247457920482148,0.00220776186200833,-0.0128904957864694,-0.02762560602113,-0.00631989693993026,-0.0104257738152798,0.0128904957864694,0.02762560602113,0.00631989693993026,0.0104257738152798,0.00247457920482148,0.00220776186200833,0.0304850617459712,0.0121917126351762,0.00331628627839537
"WxT_4.",0.166964350233883,0.249552272329044,3.82359124647271e-05,0.0323321119557311,-0.00956662283483211,-0.0141038237332463,-0.00754053467296776,0.00534130336007544,-0.000574942362307168,0.00910735667900152,0.00407910981051723,0.00207354250484415,-0.00968229904130868,0.00200556730567307,-0.0825879220951612,-0.0322938760432664,0.00453720089841422,-0.0128818380330432,0.0825879220951612,0.0322938760432664,0.00453720089841422,0.0128818380330432,0.00968229904130868,0.00200556730567307,0.0886772761528807,0.0136575233150864,0.00988783166032431
"WxT_40.",0.29134551122558,0.257625571744482,0.0404708241771866,0.0355980879291721,-0.00212194765912652,-0.00212309519631277,0.0203173874850836,0.0182852644420485,0.00308828575706141,0.00339871730790221,-0.00582560612518314,-0.00937865441145139,-0.000310431550840802,0.00355304828626825,0.0337199394810979,0.00487273624801447,1.14753718624769e-06,0.00203212304303511,0.0337199394810979,0.00487273624801447,1.14753718624769e-06,0.00203212304303511,0.000310431550840802,0.00355304828626825,0.0340701904478331,0.00203212336704145,0.00356658378175968
"WxT_41.",0.33396288988958,0.21981359298159,-0.0145797553601278,0.0240473850997705,-0.0192033950803582,-0.00211759219646065,0.0186851082100717,0.0158049777004277,0.00125264810634588,0.00363663352760318,-0.0070520806126289,-0.00919189346482539,-0.0023839854212573,0.00213981285219649,0.114149296907989,-0.0386271404598983,-0.0170858028838976,0.00288013050964398,0.114149296907989,0.0386271404598983,0.0170858028838976,0.00288013050964398,0.0023839854212573,0.00213981285219649,0.120507750641596,0.0173268523379172,0.00320346461369447
"WxT_42.",0.199389739336475,0.182522755166894,0.00656913279851999,0.009351818074403,-0.00639476323996247,-0.00990587923808964,0.0050514711178856,0.00771931707529338,0.00305432482592322,0.00573170762865973,-0.00240229618021642,-0.0027356137718191,-0.00267738280273651,0.000333317591602683,0.0168669841695812,-0.002782685275883,0.00351111599812717,-0.00266784595740778,0.0168669841695812,0.002782685275883,0.00351111599812717,0.00266784595740778,0.00267738280273651,0.000333317591602683,0.0170949844200432,0.00440968679213859,0.00269805101680102
