"","varmx_sd_PC1_SDLDpre","varmx_sd_PC1_SDLDpost","varmx_sd_PC1_SDSDpre","varmx_sd_PC1_SDSDpost","varmx_sd_PC2_SDLDpre","varmx_sd_PC2_SDLDpost","varmx_sd_PC2_SDSDpre","varmx_sd_PC2_SDSDpost","varmx_sd_PC1_SDLDpre_vel","varmx_sd_PC1_SDLDpost_vel","varmx_sd_PC1_SDSDpre_vel","varmx_sd_PC1_SDSDpost_vel","varmx_sd_PC2_SDLDpre_vel","varmx_sd_PC2_SDLDpost_vel","varmx_sd_PC2_SDSDpre_vel","varmx_sd_PC2_SDSDpost_vel","varmx_sd_PC1_SDLDpre_acc","varmx_sd_PC1_SDLDpost_acc","varmx_sd_PC1_SDSDpre_acc","varmx_sd_PC1_SDSDpost_acc","varmx_sd_PC2_SDLDpre_acc","varmx_sd_PC2_SDLDpost_acc","varmx_sd_PC2_SDSDpre_acc","varmx_sd_PC2_SDSDpost_acc","varmx_PC1_movement_ori_sd_SDLD","varmx_ PC2_movement_ori_sd_SDLD","varmx_ PC1_movement_ori_sd_SDSD","varmx_PC2_movement_ori_sd_SDSD ","varmx_PC1_movement_vel_sd_SDLD","varmx_PC2_movement_vel_sd_SDLD ","varmx_PC1_movement_vel_sd_SDSD ","varmx_PC2_movement_vel_sd_SDSD","varmx_PC1_movement_acc_sd_SDLD ","varmx_PC2_movement_acc_sd_SDLD ","varmx_PC1_movement_acc_sd_SDSD","varmx_PC2_movement_acc_sd_SDSD","varmx_PC1_movement_ori_sd_absSDLD","varmx_PC2_movement_ori_sd_absSDLD","varmx_PC1_movement_ori_sd_absSDSD","varmx_PC2_movement_ori_sd_absSDSD","varmx_PC1_movement_vel_sd_absSDLD","varmx_PC2_movement_vel_sd_absSDLD","varmx_PC1_movement_vel_sd_absSDSD","varmx_PC2_movement_vel_sd_absSDSD","varmx_PC1_movement_acc_sd_absSDLD","varmx_PC2_movement_acc_sd_absSDLD","varmx_PC1_movement_acc_sd_absSDSD","varmx_PC2_movement_acc_sd_absSDSD","varmx_distances_ori_sdSDLD","varmx_distances_vel_sdSDLD","varmx_distances_acc_sdSDLD","varmx_distances_ori_sdSDSD","varmx_distances_vel_sdSDSD","varmx_distances_acc_sdSDSD"
"WxT_19.",0.202447564742114,0.162919210460875,0.1368533756735,0.16459505896184,-0.155123615355649,-0.0859352190790171,-0.095708084135687,-0.100260219743227,-0.012520848015021,-0.00214647322763635,-0.00680886236360587,-0.00501085579977825,-0.0172011582129354,-0.00218802912363442,-0.0183046617097576,-0.00600407369025881,0.00476188898482479,5.32125331604567e-05,0.00397742264656179,0.00404909963113539,0.00156723146848519,-0.0012308873297027,0.00560364323671269,0.00798764631760536,0.0395283542812388,-0.0691883962766318,-0.0277416832883401,0.0045521356075395,-0.0103743747873847,-0.015013129089301,-0.00179800656382762,-0.0123005880194988,0.00470867645166433,0.00279811879818789,-7.16769845735968e-05,-0.00238400308089267,0.0395283542812388,0.0691883962766318,0.0277416832883401,0.0045521356075395,0.0103743747873847,0.015013129089301,0.00179800656382762,0.0123005880194988,0.00470867645166433,0.00279811879818789,7.16769845735968e-05,0.00238400308089267,0.0796839066029984,0.018248882083052,0.00547732623962008,0.0281126827296862,0.012431302957816,0.00238508035081071
"WxT_2.",0.183404799763753,0.188374501773181,0.142535242516588,0.166615543062146,-0.152737149006683,-0.0947583200846928,-0.114328900304005,-0.107813472381439,-0.014784857412961,-0.00445059997354828,-0.00788044634157854,-0.0133422369282376,-0.00133034317439531,-0.0050933593073553,-0.0109552498662114,-0.00832280948836195,0.00464224455622892,0.00538917743990324,0.00896841721504839,0.00605542018071155,-0.00304842602207811,0.00466602028301615,0.00105628111382589,-0.00165938631610138,-0.00496970200942859,-0.05797882892199,-0.0240803005455584,-0.00651542792256622,-0.0103342574394128,0.00376301613295999,0.00546179058665908,-0.00263244037784949,-0.000746932883674322,-0.00771444630509426,0.00291299703433684,0.00271566742992727,0.00496970200942859,0.05797882892199,0.0240803005455584,0.00651542792256622,0.0103342574394128,0.00376301613295999,0.00546179058665908,0.00263244037784949,0.000746932883674322,0.00771444630509426,0.00291299703433684,0.00271566742992727,0.0581914301356128,0.0109980528840779,0.00775052195190082,0.024946175566178,0.00606307667405337,0.00398251193495048
"WxT_21.",0.171793409167753,0.151038176768248,0.201682197253346,0.15522455750367,-0.1518450303596,-0.0965767795392037,-0.169500016170453,-0.109754003639974,-0.0137890509941502,-0.00233042164979714,-0.0134071555760766,-0.00360618599247703,-0.00846269032042399,-0.00406386086395401,-0.0201233202410846,-0.00231606471510768,0.00434989850403208,0.00160563881026041,0.00642438347591778,0.000961668549264097,-0.000295643377517177,0.00276705870449107,0.00933308068521017,0.00316837109168961,0.0207552323995047,-0.0552682508203963,0.0464576397496761,-0.0597460125304788,-0.011458629344353,-0.00439882945646998,-0.00980096958359955,-0.0178072555259769,0.00274425969377167,-0.00306270208200825,0.00546271492665369,0.00616470959352056,0.0207552323995047,0.0552682508203963,0.0464576397496761,0.0597460125304788,0.011458629344353,0.00439882945646998,0.00980096958359955,0.0178072555259769,0.00274425969377167,0.00306270208200825,0.00546271492665369,0.00616470959352056,0.0590369309898786,0.01227395156575,0.00411231143154278,0.0756828798633008,0.0203262725098843,0.00823680148736932
"WxT_22.",0.1527178832352,0.148781866234444,0.188037878223873,0.156631210491026,-0.139398612442797,-0.0686918750345518,-0.121245532137195,-0.10611941960248,-0.013411749669644,-0.00312725035174368,-0.0122671430032558,-0.0178507935924971,-0.00785201421866865,0.00410400321085064,-0.0106892245784423,-0.00433484780576994,0.00188397801303875,0.00129705239186996,0.00495191728399834,0.00499009379160745,-0.000387280024898605,-0.00136580795439776,0.000768939097343863,-0.00328038283809362,0.00393601700075658,-0.0707067374082451,0.0314066677328476,-0.0151261125347157,-0.0102844993179004,-0.0119560174295193,0.00558365058924136,-0.00635437677267239,0.000586925621168791,0.000978527929499151,-3.81765076091136e-05,0.00404932193543749,0.00393601700075658,0.0707067374082451,0.0314066677328476,0.0151261125347157,0.0102844993179004,0.0119560174295193,0.00558365058924136,0.00635437677267239,0.000586925621168791,0.000978527929499151,3.81765076091136e-05,0.00404932193543749,0.0708162053823048,0.0157707729358729,0.00114105152977167,0.0348594041614939,0.00845903410986229,0.00404950189314049
"WxT_23.",0.199686520505943,0.155097526039611,0.169701935911492,0.15480547245666,-0.172024310064034,-0.106695480811512,-0.110085248072111,-0.110947245951255,-0.0056490504651624,-0.00705388900273309,-0.0142175271502549,-0.0115120744724538,-0.010031421303509,-0.00542754941747896,-0.000285485784554989,-0.00483931416179702,0.0042286372386292,0.0032123369929584,0.00652744988142414,0.00624349446861446,0.00411810354804831,-0.000965021546504055,-0.00226712244650545,0.000908902145773232,0.0445889944663318,-0.0653288292525223,0.0148964634548322,0.000861997879144524,0.00140483853757069,-0.00460387188603001,-0.00270545267780107,0.00455382837724203,0.0010163002456708,0.00508312509455237,0.000283955412809677,-0.00317602459227868,0.0445889944663318,0.0653288292525223,0.0148964634548322,0.000861997879144524,0.00140483853757069,0.00460387188603001,0.00270545267780107,0.00455382837724203,0.0010163002456708,0.00508312509455237,0.000283955412809677,0.00317602459227868,0.0790950969341575,0.00481344031433041,0.00518372712594119,0.0149213827712046,0.00529686955485934,0.00318869297475045
"WxT_24.",0.139514471415098,0.140539116467803,0.151810042876721,0.138299223854662,-0.126270698698992,-0.0829240983224179,-0.0986500424896746,-0.0965097901736565,-0.012073104723598,-0.00411974849881501,-0.00882538783112134,-0.0127654120388016,-0.00361387520768938,-0.000305087617470754,-0.00769519287844142,0.00252267202807794,0.00357578539458213,0.00309670889498415,0.0053187157783772,0.00666553992909491,-4.56766434801209e-05,0.00137083302543742,0.000415055659964513,-0.00394396588262873,-0.00102464505270533,-0.0433466003765742,0.0135108190220592,-0.00214025231601811,-0.00795335622478299,-0.00330878759021862,0.00394002420768025,-0.0102178649065194,0.000479076499597979,-0.00141650966891755,-0.00134682415071771,0.00435902154259324,0.00102464505270533,0.0433466003765742,0.0135108190220592,0.00214025231601811,0.00795335622478299,0.00330878759021862,0.00394002420768025,0.0102178649065194,0.000479076499597979,0.00141650966891755,0.00134682415071771,0.00435902154259324,0.0433587091792463,0.00861417149559255,0.00149533071078071,0.0136792876504245,0.0109511896159726,0.00456234633732999
"WxT_25.",0.16962795311976,0.183932840525561,0.161329180006185,0.150727822059586,-0.167206830327996,-0.105079370807065,-0.104082689601053,-0.122053426769565,-0.0149700144749453,-0.0126926532930572,-0.0124375303596079,-0.0145353087084007,-0.00740841577272429,-0.00113073975477465,-0.00114248531728318,-0.00793759586267946,0.00146931170491964,0.00298218111976601,0.00337770355401245,0.00657175221183211,-0.00510445178984279,-0.00273779418785537,-0.00219736454169011,0.000422471119910931,-0.0143048874058014,-0.0621274595209308,0.0106013579465985,0.0179707371685122,-0.00227736118188814,-0.00627767601794964,0.00209777834879278,0.00679511054539629,-0.00151286941484637,-0.00236665760198741,-0.00319404865781966,-0.00261983566160104,0.0143048874058014,0.0621274595209308,0.0106013579465985,0.0179707371685122,0.00227736118188814,0.00627767601794964,0.00209777834879278,0.00679511054539629,0.00151286941484637,0.00236665760198741,0.00319404865781966,0.00261983566160104,0.0637530472229959,0.00667799297237657,0.00280888626886572,0.0208647114691685,0.00711155407241058,0.00413103930292562
"WxT_26.",0.147894010517308,0.144383386621543,0.199286365626633,0.181589793173799,-0.176333783923027,-0.097903458440454,-0.126328430996836,-0.132140204719357,-0.0231486695749112,-0.00848745139703408,-0.0150650235511657,-0.0233116026973706,-0.0129156498617756,-0.00113683673222133,-0.00447264273716845,-9.27900002759845e-05,0.00669346157267584,0.00241835281079972,0.00920408243370974,0.0123330994263473,-0.0036046901287285,-0.00130811798575038,-0.000949257596036811,-0.00589098725068475,0.00351062389576473,-0.0784303254825731,0.0176965724528338,0.00581177372252029,-0.0146612181778771,-0.0117788131295543,0.00824657914620496,-0.00437985273689247,0.00427510876187612,-0.00229657214297812,-0.00312901699263754,0.00494172965464794,0.00351062389576473,0.0784303254825731,0.0176965724528338,0.00581177372252029,0.0146612181778771,0.0117788131295543,0.00824657914620496,0.00437985273689247,0.00427510876187612,0.00229657214297812,0.00312901699263754,0.00494172965464794,0.0785088557771661,0.0188066944783042,0.0048529164977128,0.0186264701535254,0.00933751453072427,0.00584905456632449
"WxT_27.",0.159104449018796,0.133011544147585,0.158736805384241,0.168714005797687,-0.143321311552448,-0.0669414261930602,-0.0968126244564062,-0.119896427179491,-0.00820745898232603,-0.00320350802299851,-0.0150000021636375,-0.00854060434018061,-0.0123859173176161,0.00140107425343918,-0.00166186047667599,-0.0100795982955359,0.00206264286671378,0.00224152906203709,0.0067452763574011,0.0059599610065165,0.00275793414512605,0.00100114410670979,-0.00185927732258492,0.00423647737320391,0.0260929048712111,-0.0763798853593876,-0.00997720041344533,0.0230838027230848,-0.00500395095932753,-0.0137869915710553,-0.00645939782345692,0.00841773781885996,-0.000178886195323308,0.00175679003841627,0.000785315350884609,-0.00609575469578883,0.0260929048712111,0.0763798853593876,0.00997720041344533,0.0230838027230848,0.00500395095932753,0.0137869915710553,0.00645939782345692,0.00841773781885996,0.000178886195323308,0.00175679003841627,0.000785315350884609,0.00609575469578883,0.0807138561346889,0.0146669922541639,0.00176587414895736,0.025147693258992,0.0106104726675462,0.00614613256540783
"WxT_28.",0.172859588414212,0.154062267296401,0.163277947320414,0.144923430482092,-0.124303506039939,-0.0780607691911763,-0.101923761375175,-0.103990316827727,-0.00205241439576995,-0.00528543789249763,-0.0107581705730922,-0.0135934527718016,-0.014285709382187,-0.00649945123882031,0.00288855488765929,-0.000869988353676397,-0.000162572241637429,0.00302431093120172,0.000884860671648963,0.0066918821560615,0.00547874444405976,0.00230228229413612,-0.00418763346521579,-0.00150442094528545,0.0187973211178106,-0.0462427368487623,0.0183545168383213,0.00206655545255204,0.00323302349672767,-0.00778625814336674,0.00283528219870935,0.00375854324133569,-0.00318688317283915,0.00317646214992364,-0.00580702148441254,-0.00268321251993034,0.0187973211178106,0.0462427368487623,0.0183545168383213,0.00206655545255204,0.00323302349672767,0.00778625814336674,0.00283528219870935,0.00375854324133569,0.00318688317283915,0.00317646214992364,0.00580702148441254,0.00268321251993034,0.0499172314183186,0.00843079218137526,0.00449957066254358,0.0184704883478129,0.00470802213708775,0.00639696240004111
