"","sd_PC1_SDLDpre","sd_PC1_SDLDpost","sd_PC1_SDSDpre","sd_PC1_SDSDpost","sd_PC2_SDLDpre","sd_PC2_SDLDpost","sd_PC2_SDSDpre","sd_PC2_SDSDpost","sd_PC1_SDLDpre_vel","sd_PC1_SDLDpost_vel","sd_PC1_SDSDpre_vel","sd_PC1_SDSDpost_vel","sd_PC2_SDLDpre_vel","sd_PC2_SDLDpost_vel","sd_PC2_SDSDpre_vel","sd_PC2_SDSDpost_vel","sd_PC1_SDLDpre_acc","sd_PC1_SDLDpost_acc","sd_PC1_SDSDpre_acc","sd_PC1_SDSDpost_acc","sd_PC2_SDLDpre_acc","sd_PC2_SDLDpost_acc","sd_PC2_SDSDpre_acc","sd_PC2_SDSDpost_acc","PC1_movement_ori_sd_SDLD"," PC2_movement_ori_sd_SDLD"," PC1_movement_ori_sd_SDSD","PC2_movement_ori_sd_SDSD ","PC1_movement_vel_sd_SDLD","PC2_movement_vel_sd_SDLD ","PC1_movement_vel_sd_SDSD ","PC2_movement_vel_sd_SDSD","PC1_movement_acc_sd_SDLD ","PC2_movement_acc_sd_SDLD ","PC1_movement_acc_sd_SDSD","PC2_movement_acc_sd_SDSD","PC1_movement_ori_sd_absSDLD","PC2_movement_ori_sd_absSDLD","PC1_movement_ori_sd_absSDSD","PC2_movement_ori_sd_absSDSD","PC1_movement_vel_sd_absSDLD","PC2_movement_vel_sd_absSDLD","PC1_movement_vel_sd_absSDSD","PC2_movement_vel_sd_absSDSD","PC1_movement_acc_sd_absSDLD","PC2_movement_acc_sd_absSDLD","PC1_movement_acc_sd_absSDSD","PC2_movement_acc_sd_absSDSD","distances_ori_sdSDLD","distances_vel_sdSDLD","distances_acc_sdSDLD","distances_ori_sdSDSD","distances_vel_sdSDSD","distances_acc_sdSDSD"
"WxT_19.",0.271914991572782,0.20495349532274,0.180931002789686,0.200881308836588,-0.0247731791945772,0.0160286184749824,-0.00812604693110013,-0.000734041655526081,-0.0175133125951345,-0.00132402213542892,-0.0151193349471955,-0.0138972239370103,-0.00802905333326116,-0.000581524026313884,-0.0121391841429808,-0.00327923881676125,0.00375404581353692,0.000705527508527781,0.00158612655537333,0.000946012427708027,0.00323771123897603,-0.00180313965284361,0.00585630151206224,0.00696615173507757,0.0669614962500416,-0.0408017976695597,-0.0199503060469024,-0.00739200527557405,-0.0161892904597056,-0.00744752930694728,-0.00122211101018522,-0.00885994532621955,0.00304851830500914,0.00504085089181964,0.000640114127665301,-0.00110985022301533,0.0669614962500416,0.0408017976695597,0.0199503060469024,0.00739200527557405,0.0161892904597056,0.00744752930694728,0.00122211101018522,0.00885994532621955,0.00304851830500914,0.00504085089181964,0.000640114127665301,0.00110985022301533,0.0784131919584455,0.0178201800879383,0.00589097967824832,0.0212757245084435,0.00894383511167416,0.00128121567816035
"WxT_2.",0.254844349046657,0.234833349495237,0.205384592623622,0.206264478223053,-0.0320226156333473,0.0225836866951159,-0.0171983420166699,-0.00631651254727965,-0.0156268379250641,-0.00649999259902199,-0.0127542942419276,-0.016633501999188,0.00624254932925414,-0.00206929487518662,-0.00534971003837026,-0.000337347558301908,0.00566073482760365,0.00343422004947832,0.00767464764576618,0.0059765004804701,-0.0017175648263882,0.00479446215161379,0.0050509106547441,0.00193490076603105,0.0200109995514196,-0.0546063023284632,-0.000879885599431057,-0.0108818294693903,-0.00912684532604215,0.00831184420444077,0.00387920775726038,-0.00501236248006835,0.00222651477812533,-0.00651202697800199,0.00169814716529608,0.00311600988871305,0.0200109995514196,0.0546063023284632,0.000879885599431057,0.0108818294693903,0.00912684532604215,0.00831184420444077,0.00387920775726038,0.00501236248006835,0.00222651477812533,0.00651202697800199,0.00169814716529608,0.00311600988871305,0.0581574445538526,0.0123444748646669,0.00688214090377669,0.0109173445154477,0.00633814093055575,0.0035486929173374
"WxT_21.",0.254503151201895,0.198381852261267,0.291056111148925,0.209026050852878,-0.0329163391328516,0.000189522430934789,-0.0324286169733422,-0.00893826940147579,-0.0193156066526567,-0.00673127359203698,-0.025225626352591,-0.0108433207747597,-0.00047490514360036,-0.00257051507548746,-0.0106810695283162,-0.000852679883468479,0.00412302145450432,0.000661423425407639,0.00242313852411851,-0.000417636777623247,0.00138427485032663,0.00185431177953213,0.00982657486717305,0.00338275962937964,0.0561212989406278,-0.0331058615637864,0.0820300602960467,-0.0234903475718664,-0.0125843330606197,0.0020956099318871,-0.0143823055778313,-0.0098283896448477,0.00346159802909668,-0.0004700369292055,0.00284077530174175,0.00644381523779341,0.0561212989406278,0.0331058615637864,0.0820300602960467,0.0234903475718664,0.0125843330606197,0.0020956099318871,0.0143823055778313,0.0098283896448477,0.00346159802909668,0.0004700369292055,0.00284077530174175,0.00644381523779341,0.0651582555372985,0.0127576259377374,0.00349336451431324,0.0853271775064671,0.0174197576546021,0.00704221265894495
"WxT_22.",0.236288587782437,0.187078181402033,0.23502314548795,0.206022488080803,-0.0298677576545452,0.0250796649980256,-0.00575013277226599,-0.00607136290614398,-0.0163036247079913,-0.00182681538013379,-0.0161687867270678,-0.0150510071635902,0.000118015798474977,0.00498784958675406,-0.00283345383056195,0.00578369730428829,0.00195577881475358,0.00187021226038528,0.00435824532254299,0.00596416434526089,7.78588122761519e-05,-0.00130372810891942,0.00211238085766584,-0.00132048738451403,0.0492104063804035,-0.0549474226525708,0.0290006574071476,0.000321230133877984,-0.0144768093278575,-0.00486983378827909,-0.00111777956347758,-0.00861715113485024,8.55665543683035e-05,0.00138158692119557,-0.0016059190227179,0.00343286824217987,0.0492104063804035,0.0549474226525708,0.0290006574071476,0.000321230133877984,0.0144768093278575,0.00486983378827909,0.00111777956347758,0.00861715113485024,8.55665543683035e-05,0.00138158692119557,0.0016059190227179,0.00343286824217987,0.0737623437282514,0.0152739415162101,0.00138423410449429,0.0290024364294736,0.00868934547784693,0.00378992879559686
"WxT_23.",0.294817560027477,0.211306147249146,0.219562288555179,0.199717288759754,-0.0338824693926351,-0.00474670062195373,-0.00284035977236128,-0.014095903997222,-0.0187692117006761,-0.00846718229150924,-0.0126818880491996,-0.0160734843713047,-0.00664881544379863,-0.000962412440998804,0.00705844892104388,0.00138715236252478,0.00214393106002493,0.00339248478707039,0.00673139017951225,0.00539918175048421,0.00576844015133058,0.000135217372936878,0.0012305055053751,0.00312839065209637,0.0835114127783312,-0.0291357687706814,0.0198449997954251,0.0112555442248608,-0.0103020294091668,-0.00568640300279983,0.00339159632210513,0.0056712965585191,-0.00124855372704546,0.0056332227783937,0.00133220842902804,-0.00189788514672127,0.0835114127783312,0.0291357687706814,0.0198449997954251,0.0112555442248608,0.0103020294091668,0.00568640300279983,0.00339159632210513,0.0056712965585191,0.00124855372704546,0.0056332227783937,0.00133220842902804,0.00189788514672127,0.0884480021599778,0.0117671997118086,0.00576992939994354,0.0228147165811504,0.00660806554649601,0.00231878143181253
"WxT_24.",0.217859477079847,0.188312641679045,0.189753553110474,0.193772309043492,-0.0253131470411476,0.0091331329723191,-0.00545602306813037,-0.0035044785179644,-0.015458405891326,-0.00663488857071547,-0.013649669803932,-0.00887253454942186,0.00277787590621363,0.00153736916922685,-0.00226760337853018,0.00883756957800801,0.0034368996528045,0.00235383862718528,0.0045360189186174,0.00759640175369956,0.000768219846140168,0.00219292166330411,0.00323736921159711,-0.000523183297957418,0.0295468354008026,-0.0344462800134667,-0.0040187559330177,-0.00195154455016596,-0.00882351732061058,0.00124050673698678,-0.00477713525451013,-0.0111051729565382,0.00108306102561923,-0.00142470181716394,-0.00306038283508216,0.00376055250955452,0.0295468354008026,0.0344462800134667,0.0040187559330177,0.00195154455016596,0.00882351732061058,0.00124050673698678,0.00477713525451013,0.0111051729565382,0.00108306102561923,0.00142470181716394,0.00306038283508216,0.00376055250955452,0.0453823940418338,0.00891029263669967,0.00178963584369715,0.00446754131267384,0.0120890813395605,0.00484847380877554
"WxT_25.",0.257375559896514,0.233783689651865,0.20650540454842,0.206305451294146,-0.0485060605995048,0.0104477558193428,-0.00300090293167057,-0.0238861007792538,-0.0205712283375359,-0.0108045058942298,-0.0134958581525582,-0.0199458380018661,0.00094977966452637,0.00565959930747007,0.00519373364151786,0.000330876614618012,0.00304372531083872,0.00377718095964829,0.00420980035265404,0.0058509088161018,-0.00253598197763537,-0.00106695614577768,-0.00166108746086314,0.0030085506084616,0.0235918702446487,-0.0589538164188477,0.000199953254274104,0.0208851978475832,-0.00976672244330611,-0.0047098196429437,0.00644997984930786,0.00486285702689985,-0.000733455648809569,-0.00146902583185768,-0.00164110846344776,-0.00466963806932474,0.0235918702446487,0.0589538164188477,0.000199953254274104,0.0208851978475832,0.00976672244330611,0.0047098196429437,0.00644997984930786,0.00486285702689985,0.000733455648809569,0.00146902583185768,0.00164110846344776,0.00466963806932474,0.0634990457565114,0.0108430285600305,0.00164194825845269,0.0208861549940766,0.00807772359768188,0.00494962187316231
"WxT_26.",0.238304713525589,0.196119751642761,0.24966823980943,0.251733878197608,-0.0693004438289513,-0.00313842385483038,-0.00353011459170443,-0.0115106954092916,-0.0297894507216916,-0.0104254110552177,-0.0167375033347189,-0.0191369340178903,0.000528315099282356,0.00312328668057119,0.00378044201919477,0.0120579310296602,0.00723075965824582,0.0025612084132569,0.00895522661747225,0.0135325013957586,0.00090105941169455,0.000552336610402003,0.00219600023019318,0.000131364734690494,0.0421849618828276,-0.0661620199741209,-0.00206563838817811,0.00798058081758715,-0.0193640396664739,-0.00259497158128884,0.00239943068317138,-0.00827748901046541,0.00466955124498892,0.000348722801292547,-0.00457727477828635,0.00206463549550269,0.0421849618828276,0.0661620199741209,0.00206563838817811,0.00798058081758715,0.0193640396664739,0.00259497158128884,0.00239943068317138,0.00827748901046541,0.00466955124498892,0.000348722801292547,0.00457727477828635,0.00206463549550269,0.078466450767902,0.0195371417999786,0.00468255447610798,0.00824357520356035,0.00861824181151352,0.00502137074166268
"WxT_27.",0.232206301593615,0.176016139623426,0.199243267929382,0.224787967882652,-0.034802572763041,0.0200954421058924,0.00142345034655362,-0.0113479823600167,-0.0178215774969117,-0.00367727852803544,-0.0163873169903515,-0.0152663252699778,-0.00685766575729182,0.00266929377383835,0.00602459081658496,-0.00452664616852084,0.000826422788490471,0.00178596162271899,0.00697965522698844,0.00369298228728129,0.00314287410094713,0.00122420964876463,0.00076864701302126,0.00652212454137039,0.0561901619701881,-0.0548980148689334,-0.0255446999532707,0.0127714327065703,-0.0141442989688762,-0.00952695953113017,-0.00112099172037364,0.0105512369851058,-0.000959538834228518,0.0019186644521825,0.00328667293970716,-0.00575347752834913,0.0561901619701881,0.0548980148689334,0.0255446999532707,0.0127714327065703,0.0141442989688762,0.00952695953113017,0.00112099172037364,0.0105512369851058,0.000959538834228518,0.0019186644521825,0.00328667293970716,0.00575347752834913,0.0785565168447889,0.0170535671115678,0.00214522447647359,0.028559432576315,0.0106106184717485,0.00662606389056291
"WxT_28.",0.229745690283221,0.186089731298029,0.205536538002984,0.198440989956192,-0.0134232989532637,0.0154193524454282,-0.000799728892330783,-0.00862453688887024,-0.0127812482421621,-0.00812071769845253,-0.0129891929076487,-0.0137410268923881,-0.0115796136677722,-0.00286219769284602,0.00744188028011625,0.00609147695512005,-0.00228962946758503,0.00205117059199465,0.00229886714500244,0.00660403479734556,0.00466621829938219,0.00241579068911666,-0.00262199546985462,0.00186812258461566,0.0436559589851917,-0.0288426513986919,0.00709554804679155,0.00782480799653946,-0.00466053054370958,-0.00871741597492616,0.000751833984739395,0.0013504033249962,-0.00434080005957968,0.00225042761026553,-0.00430516765234312,-0.00449011805447028,0.0436559589851917,0.0288426513986919,0.00709554804679155,0.00782480799653946,0.00466053054370958,0.00871741597492616,0.000751833984739395,0.0013504033249962,0.00434080005957968,0.00225042761026553,0.00430516765234312,0.00449011805447028,0.0523234296909444,0.00988503344601058,0.00488947538968061,0.010562879449612,0.00154558839306262,0.00622058105468143
