Trait,Cat
varmx_mean_total_euclid_SDLD_ori,Spread_of_Shape
varmx_mean_total_euclid_SDSD_ori,Spread_of_Shape
varmx_mean_total_euclid_LDLD_ori,Spread_of_Shape
varmx_mean_total_euclid_SDLD_vel,Spread_of_Shape
varmx_mean_total_euclid_SDSD_vel,Spread_of_Shape
varmx_mean_total_euclid_LDLD_vel,Spread_of_Shape
varmx_mean_total_euclid_SDLD_acc,Spread_of_Shape
varmx_mean_total_euclid_SDSD_acc,Spread_of_Shape
varmx_mean_total_euclid_LDLD_acc,Spread_of_Shape
varmx_PC1_se_dist_SDLD_ori,Spread_of_Shape
varmx_PC2_se_dist_SDLD_ori,Spread_of_Shape
varmx_PC3_se_dist_SDLD_ori,Spread_of_Shape
varmx_PC1_se_dist_SDSD_ori,Spread_of_Shape
varmx_PC2_se_dist_SDSD_ori,Spread_of_Shape
varmx_PC3_se_dist_SDSD_ori,Spread_of_Shape
varmx_PC1_se_dist_LDLD_ori,Spread_of_Shape
varmx_PC2_se_dist_LDLD_ori,Spread_of_Shape
varmx_PC3_se_dist_LDLD_ori,Spread_of_Shape
varmx_PC1_se_dist_SDLD_vel,Spread_of_Shape
varmx_PC2_se_dist_SDLD_vel,Spread_of_Shape
varmx_PC3_se_dist_SDLD_vel,Spread_of_Shape
varmx_PC1_se_dist_SDSD_vel,Spread_of_Shape
varmx_PC2_se_dist_SDSD_vel,Spread_of_Shape
varmx_PC3_se_dist_SDSD_vel,Spread_of_Shape
varmx_PC1_se_dist_LDLD_vel,Spread_of_Shape
varmx_PC2_se_dist_LDLD_vel,Spread_of_Shape
varmx_PC3_se_dist_LDLD_vel,Spread_of_Shape
varmx_PC1_se_dist_SDLD_acc,Spread_of_Shape
varmx_PC2_se_dist_SDLD_acc,Spread_of_Shape
varmx_PC3_se_dist_SDLD_acc,Spread_of_Shape
varmx_PC1_se_dist_SDSD_acc,Spread_of_Shape
varmx_PC2_se_dist_SDSD_acc,Spread_of_Shape
varmx_PC3_se_dist_SDSD_acc,Spread_of_Shape
varmx_PC1_se_dist_LDLD_acc,Spread_of_Shape
varmx_PC2_se_dist_LDLD_acc,Spread_of_Shape
varmx_PC3_se_dist_LDLD_acc,Spread_of_Shape
varmx_se_total_euclid_SDLD_ori,Spread_of_Shape
varmx_se_total_euclid_SDSD_ori,Spread_of_Shape
varmx_se_total_euclid_LDLD_ori,Spread_of_Shape
varmx_se_total_euclid_SDLD_vel,Spread_of_Shape
varmx_se_total_euclid_SDSD_vel,Spread_of_Shape
