Genotype ,Days to flower ,Leaf no,weight
TNZ-1,38,20,0.0344
TNZ-1,41,19,0.0351
TNZ-1,39,19,0.0253
TNZ-1,39,19,0.0348
TNZ-1,41,19,0.0369
TNZ-1,39,20,0.0353
TNZ-1,38,19,0.0366
TNZ-1,41,21,0.0271
TNZ-1,41,20,0.0405
TNZ-1,43,19,0.029
TNZ-1,41,39,0.113
TNZ-1,41,20,0.0347
TNZ-1,40,18,0.0303
TNZ-1,41,20,0.0376
TNZ-1,39,20,0.0364
TNZ-1,41,21,0.0397
TNZ-1,41,20,0.0345
TNZ-1,39,19,0.0347
TNZ-1,41,19,0.0293
WT9,37,21,0.0281
WT9,NA,NA,
WT9,36,16,0.0143
WT9,36,18,0.0233
WT9,40,19,0.0369
WT9,34,28,0.0425
WT9,37,22,0.0314
WT9,37,20,0.0284
WT9,NA,NA,
WT9,39,30,0.0611
WT9,37,23,0.0306
WT9,40,22,0.025
WT9,NA,NA,
WT9,NA,NA,
WT9,36,24,0.0241
WT9,37,19,0.0181
WT9,41,29,0.0499
WT9,NA,NA,
WT9,36,15,0.0093
WT9,NA,NA,
WT10,29,19,0.0139
WT10,29,15,0.0113
WT10,26,14,0.0117
WT10,28,15,0.0105
WT10,32,20,0.0195
WT10,29,15,0.0092
WT10,28,12,0.0083
WT10,26,13,0.007
WT10,30,24,0.0188
WT10,28,14,0.0092
WT10,30,24,0.0129
WT10,29,20,0.0155
WT10,28,20,0.0113
WT10,28,21,0.0156
WT10,28,18,0.0156
WT10,32,18,0.0199
WT10,26,15,0.0093
WT10,28,16,0.0109
WT10,30,20,0.0122
WT10,28,14,0.0082
WT73,23,10,0.0329
WT73,23,10,0.0237
WT73,21,9,0.0218
WT73,23,10,0.027
WT73,23,9,0.0238
WT73,23,10,0.016
WT73,23,10,0.0333
WT73,23,10,0.015
WT73,23,10,0.0219
WT73,23,10,0.0319
WT73,26,10,0.0218
WT73,25,10,0.0251
WT73,23,10,0.0211
WT73,23,11,0.0222
WT73,23,10,0.0171
WT73,25,11,0.0264
WT73,26,11,0.0221
WT73,21,9,0.0328
WT73,25,11,0.0275
WT73,25,10,0.0246
WT74,28,16,0.0148
WT74,27,15,0.0106
WT74,28,14,0.0112
WT74,28,16,0.0112
WT74,28,15,0.0154
WT74,27,14,0.0092
WT74,28,15,0.0109
WT74,29,16,0.0122
WT74,25,14,0.0096
WT74,28,15,0.0121
WT74,29,15,0.0107
WT74,25,11,0.0061
WT74,28,15,0.014
WT74,27,18,0.0133
WT74,25,12,0.0073
WT74,25,12,0.009
WT74,28,14,0.0123
WT74,29,15,0.0128
WT74,26,12,0.0067
WT74,28,15,0.0095
WT22,26,15,0.0152
WT22,25,14,0.0144
WT22,26,16,0.016
WT22,28,19,0.0139
WT22,26,16,0.0148
WT22,26,13,0.0093
WT22,25,12,0.01
WT22,25,14,0.0134
WT22,28,20,0.0176
WT22,27,19,0.0186
WT22,NA,NA,0.0736
WT22,29,21,0.0233
WT22,NA,NA,0.0351
WT22,28,17,0.0114
WT22,28,15,0.0142
WT22,28,19,0.0228
WT22,25,14,0.0127
WT22,28,20,0.0217
WT22,28,17,0.0148
WT22,28,15,0.012
WT23,28,21,0.0164
WT23,26,13,0.0094
WT23,27,18,0.0147
WT23,28,17,0.0116
WT23,28,26,0.0215
WT23,27,21,0.016
WT23,26,15,0.0134
WT23,27,18,0.0122
WT23,28,24,0.024
WT23,26,15,0.0138
WT23,24,14,0.0094
WT23,28,19,0.0192
WT23,24,11,0.0055
WT23,28,22,0.0235
WT23,28,21,0.0171
WT23,27,19,0.0172
WT23,21,11,0.0054
WT23,21,11,0.0042
WT23,28,24,0.0189
WT23,28,19,0.0139
WT39,33,16,0.0284
WT39,32,17,0.0284
WT39,31,16,0.0236
WT39,32,15,0.03
WT39,30,14,0.016
WT39,32,17,0.0259
WT39,35,25,0.0308
WT39,33,14,0.0273
WT39,30,15,0.0198
WT39,29,14,0.0181
WT39,32,16,0.022
WT39,32,16,0.0321
WT39,29,15,0.0212
WT39,32,16,0.0298
WT39,30,16,0.0162
WT39,32,15,0.0268
WT39,29,15,0.0196
WT39,31,15,0.0269
WT39,31,15,0.0253
WT39,32,13,0.0146
WT40,29,15,0.0169
WT40,31,17,0.0308
WT40,32,17,0.0318
WT40,32,19,0.0387
WT40,29,26,0.0271
WT40,31,16,0.0284
WT40,29,19,0.0219
WT40,29,18,0.0189
WT40,30,19,0.0226
WT40,33,18,0.0268
WT40,31,23,0.0344
WT40,31,16,0.0273
WT40,30,21,0.0281
WT40,32,18,0.0289
WT40,32,18,0.0374
WT40,33,18,0.033
WT40,31,17,0.0215
WT40,31,18,0.0299
WT40,30,20,0.0226
WT40,29,16,0.0198
WT57,20,10,0.0051
WT57,22,11,0.0054
WT57,20,10,0.0057
WT57,21,11,0.0051
WT57,23,14,0.0086
WT57,20,10,0.0032
WT57,20,10,0.0048
WT57,20,11,0.0031
WT57,20,11,0.0039
WT57,20,11,0.0032
WT57,21,10,0.004
WT57,24,13,0.0088
WT57,22,11,0.0048
WT57,21,10,0.0036
WT57,21,11,0.0048
WT57,23,12,0.0077
WT57,24,14,0.0091
WT57,27,18,0.0139
WT57,22,10,0.0031
WT57,22,11,0.0067
WT58,28,17,0.0185
WT58,29,16,0.0186
WT58,27,16,0.0133
WT58,28,15,0.0128
WT58,28,16,0.0155
WT58,29,16,0.0073
WT58,30,16,0.0151
WT58,28,15,0.0118
WT58,28,15,0.0134
WT58,29,18,0.0183
WT58,29,15,0.0122
WT58,32,17,0.0233
WT58,28,15,0.0102
WT58,29,18,0.0188
WT58,33,19,0.0196
WT58,32,17,0.0199
WT58,30,17,0.0178
WT58,33,18,0.0263
WT58,30,18,0.0179
WT58,28,15,0.0105
WT55,28,15,0.0114
WT55,27,18,0.0126
WT55,22,9,0.0024
WT55,27,16,0.0116
WT55,25,12,0.0071
WT55,26,13,0.0092
WT55,25,12,0.0061
WT55,28,15,0.0122
WT55,26,13,0.0106
WT55,26,13,0.0095
WT55,29,15,0.0134
WT55,29,14,0.0116
WT55,26,13,0.0107
WT55,26,13,0.006
WT55,26,15,0.0079
WT55,25,12,0.0065
WT55,25,11,0.0033
WT55,26,13,0.0086
WT55,28,13,0.0127
WT55,30,15,0.0134
WT56,20,10,0.0051
WT56,20,10,0.0045
WT56,20,12,0.0057
WT56,20,10,0.0043
WT56,20,9,0.0044
WT56,20,9,0.0045
WT56,20,10,0.0036
WT56,20,10,0.0046
WT56,20,10,0.0035
WT56,20,10,0.0047
WT56,20,9,0.0039
WT56,20,10,0.003
WT56,20,11,0.0047
WT56,20,10,0.0055
WT56,20,11,0.0041
WT56,20,11,0.0051
WT56,21,10,0.0037
WT56,20,10,0.0031
WT56,20,10,0.004
WT56,21,10,0.0032
